Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age
TST,Travel Agency,Offline,Travel Cruise Protect,0,40,THAILAND,30.0,10.5,M,7
C2B,Airlines,Online,Bronze Plan,0,16,SINGAPORE,23.5,5.88,F,40
SSI,Airlines,Online,Ticket Protector,0,32,SINGAPORE,0.45,0.13,None,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,SINGAPORE,112.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,50,SINGAPORE,20.0,0.0,None,25
EPX,Travel Agency,Online,Cancellation Plan,0,4,SINGAPORE,10.0,0.0,None,35
JZI,Airlines,Online,Basic Plan,0,21,CHINA,35.0,12.25,M,36
EPX,Travel Agency,Online,Cancellation Plan,0,3,SINGAPORE,10.0,0.0,None,36
SSI,Airlines,Online,Ticket Protector,0,19,SINGAPORE,0.77,0.22,None,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,45,CANADA,99.0,59.4,None,57
EPX,Travel Agency,Online,Cancellation Plan,0,33,SINGAPORE,10.0,0.0,None,30
C2B,Airlines,Online,Silver Plan,0,13,SINGAPORE,0.0,11.88,F,42
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,22,THAILAND,20.0,0.0,None,30
EPX,Travel Agency,Online,Cancellation Plan,0,122,JAPAN,19.0,0.0,None,26
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,252.85,63.21,F,33
EPX,Travel Agency,Online,Cancellation Plan,0,9,JAPAN,12.0,0.0,None,23
C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,18.0,4.5,F,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,JAPAN,77.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,5,SINGAPORE,16.0,4.0,M,31
JZI,Airlines,Online,Basic Plan,0,25,CHINA,35.0,12.25,F,34
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,52,PHILIPPINES,20.0,0.0,None,37
EPX,Travel Agency,Online,Cancellation Plan,0,20,"TAIWAN, PROVINCE OF CHINA",18.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,95,MALAYSIA,39.6,23.76,None,36
JZI,Airlines,Online,Basic Plan,0,18,PHILIPPINES,30.0,10.5,M,52
EPX,Travel Agency,Online,Cancellation Plan,0,18,JAPAN,48.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,1,JAPAN,18.0,0.0,None,45
EPX,Travel Agency,Online,Cancellation Plan,0,135,CAMBODIA,14.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,THAILAND,26.0,0.0,None,38
EPX,Travel Agency,Online,Cancellation Plan,0,4,"KOREA, REPUBLIC OF",11.0,0.0,None,30
EPX,Travel Agency,Online,Cancellation Plan,0,6,INDONESIA,10.0,0.0,None,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,101,UNITED STATES,112.0,0.0,None,33
EPX,Travel Agency,Online,Cancellation Plan,0,61,PORTUGAL,16.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,80,SINGAPORE,97.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,82,CHINA,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,55,HONG KONG,26.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,52,HONG KONG,33.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,INDONESIA,20.0,0.0,None,40
C2B,Airlines,Online,Bronze Plan,0,4,SINGAPORE,28.5,7.13,M,42
ART,Airlines,Online,24 Protect,0,2,PHILIPPINES,37.74,13.21,M,48
C2B,Airlines,Online,Bronze Plan,0,209,SINGAPORE,317.0,79.25,F,22
EPX,Travel Agency,Online,Cancellation Plan,0,22,INDIA,10.0,0.0,None,39
EPX,Travel Agency,Online,Cancellation Plan,0,84,INDONESIA,17.0,0.0,None,38
EPX,Travel Agency,Online,Cancellation Plan,0,64,INDONESIA,10.0,0.0,None,43
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,11,AUSTRALIA,39.6,23.76,None,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,MALAYSIA,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,24,NEPAL,34.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,108,SINGAPORE,71.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,216.0,54.0,F,53
EPX,Travel Agency,Online,Cancellation Plan,0,54,SINGAPORE,38.0,0.0,None,40
C2B,Airlines,Online,Bronze Plan,0,8,SINGAPORE,23.5,5.88,F,60
JWT,Airlines,Online,Value Plan,0,40,INDIA,75.0,30.0,F,118
EPX,Travel Agency,Online,Cancellation Plan,0,28,INDONESIA,19.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,16.0,4.0,F,45
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,10,SINGAPORE,20.0,0.0,None,35
C2B,Airlines,Online,Bronze Plan,0,12,SINGAPORE,20.0,5.0,F,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,VIET NAM,52.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,40,THAILAND,49.5,29.7,None,31
JWT,Airlines,Online,Value Plan,0,12,INDIA,39.0,15.6,F,118
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,THAILAND,45.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,30,SINGAPORE,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,29,"TAIWAN, PROVINCE OF CHINA",25.0,0.0,None,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,THAILAND,27.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,70,AUSTRALIA,29.7,17.82,None,53
C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,16.0,4.0,F,40
EPX,Travel Agency,Online,Cancellation Plan,0,90,CANADA,76.0,0.0,None,29
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,3,MALAYSIA,20.0,0.0,None,56
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,MALAYSIA,0.0,11.88,None,43
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,31,"KOREA, REPUBLIC OF",20.0,0.0,None,56
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,24,HONG KONG,25.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,20,AUSTRALIA,79.2,47.52,None,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,131,MALAYSIA,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,52,UNITED KINGDOM,112.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,44,THAILAND,10.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,37,INDONESIA,112.0,0.0,None,52
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,91,"KOREA, REPUBLIC OF",20.0,0.0,None,24
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,10,AUSTRALIA,49.5,29.7,None,47
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,MALAYSIA,20.0,0.0,None,43
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,2,NETHERLANDS,9.9,5.94,None,54
EPX,Travel Agency,Online,Cancellation Plan,0,30,CANADA,80.0,0.0,None,62
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,4,HONG KONG,29.0,18.85,F,37
EPX,Travel Agency,Online,Cancellation Plan,0,5,THAILAND,21.0,0.0,None,21
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,MALAYSIA,49.5,29.7,None,49
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,3,GERMANY,29.7,17.82,None,31
EPX,Travel Agency,Online,Cancellation Plan,0,24,MALAYSIA,10.0,0.0,None,36
KML,Travel Agency,Online,Value Plan,0,39,INDONESIA,28.0,10.64,F,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,33,MALAYSIA,39.6,23.76,None,40
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,52,AUSTRALIA,0.0,47.52,None,46
SSI,Airlines,Online,Ticket Protector,0,131,SINGAPORE,16.2,4.54,None,48
C2B,Airlines,Online,Annual Silver Plan,1,365,SINGAPORE,187.85,46.96,M,47
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,91,UNITED STATES,112.0,0.0,None,25
EPX,Travel Agency,Online,Cancellation Plan,0,3,SINGAPORE,26.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,56,UNITED STATES,15.0,0.0,None,52
RAB,Airlines,Online,Value Plan,0,5,BRUNEI DARUSSALAM,15.0,6.0,F,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,70,NEW ZEALAND,69.3,41.58,None,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,80,MALAYSIA,29.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,84,UNITED KINGDOM,19.8,11.88,None,41
EPX,Travel Agency,Online,Cancellation Plan,0,51,AUSTRALIA,15.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,3,SINGAPORE,24.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,9,INDONESIA,30.0,10.5,F,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,"KOREA, REPUBLIC OF",42.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,52,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,M,39
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,29,THAILAND,19.8,11.88,None,23
SSI,Airlines,Online,Ticket Protector,0,55,SINGAPORE,3.34,0.94,None,48
SSI,Airlines,Online,Ticket Protector,0,79,SINGAPORE,5.66,1.59,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,94,PHILIPPINES,16.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,34,SINGAPORE,29.0,0.0,None,26
EPX,Travel Agency,Online,Cancellation Plan,0,13,SINGAPORE,22.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,51,HONG KONG,26.0,9.1,F,62
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,INDONESIA,66.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,AUSTRALIA,69.3,41.58,None,61
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,178,PHILIPPINES,20.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,64,AUSTRALIA,79.2,47.52,None,33
C2B,Airlines,Online,Annual Gold Plan,0,373,SINGAPORE,0.0,97.34,F,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,30,UNITED ARAB EMIRATES,0.0,11.88,None,31
C2B,Airlines,Online,Silver Plan,0,19,SINGAPORE,72.0,18.0,F,25
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,CANADA,39.6,23.76,None,27
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,233,MALAYSIA,49.5,29.7,None,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,27,CHINA,27.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,17,SINGAPORE,80.25,20.06,F,25
EPX,Travel Agency,Online,Cancellation Plan,0,44,INDONESIA,10.0,0.0,None,39
EPX,Travel Agency,Online,Cancellation Plan,0,10,PHILIPPINES,16.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,15,SINGAPORE,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,14,"TAIWAN, PROVINCE OF CHINA",10.0,0.0,None,26
EPX,Travel Agency,Online,Cancellation Plan,0,13,INDIA,0.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,67,SINGAPORE,29.0,0.0,None,36
C2B,Airlines,Online,Annual Gold Plan,0,376,SINGAPORE,0.0,83.25,M,39
EPX,Travel Agency,Online,Cancellation Plan,0,175,"KOREA, REPUBLIC OF",31.0,0.0,None,36
SSI,Airlines,Online,Ticket Protector,0,32,SINGAPORE,21.35,5.98,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,2,SINGAPORE,16.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,5,SINGAPORE,10.0,0.0,None,37
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,216.0,54.0,M,54
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,12,AUSTRALIA,108.9,65.34,None,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,39,SINGAPORE,49.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,13,SINGAPORE,20.0,5.0,F,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,SINGAPORE,30.0,0.0,None,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,38,THAILAND,112.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,INDIA,27.0,0.0,None,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,135,ITALY,76.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,80,UNITED STATES,33.0,0.0,None,24
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,BRUNEI DARUSSALAM,34.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,1,THAILAND,13.0,0.0,None,61
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,166,INDIA,37.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,9,HONG KONG,26.0,9.1,F,39
EPX,Travel Agency,Online,Cancellation Plan,0,77,MALAYSIA,10.0,0.0,None,42
EPX,Travel Agency,Online,Cancellation Plan,0,4,MALAYSIA,10.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,78,THAILAND,10.0,0.0,None,63
EPX,Travel Agency,Online,Cancellation Plan,0,2,THAILAND,10.0,0.0,None,33
CBH,Travel Agency,Offline,Comprehensive Plan,0,77,MALAYSIA,29.0,9.57,F,42
JZI,Airlines,Online,Basic Plan,0,27,THAILAND,18.0,6.3,M,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,2,MALAYSIA,20.0,0.0,None,42
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,10,UNITED KINGDOM,89.1,53.46,None,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,ISRAEL,89.1,53.46,None,40
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,35,SINGAPORE,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,58,PHILIPPINES,20.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,MALAYSIA,39.6,23.76,None,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,44,AUSTRALIA,99.0,59.4,None,39
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,27,MALAYSIA,79.2,47.52,None,26
C2B,Airlines,Online,Silver Plan,0,11,SINGAPORE,43.55,10.89,M,42
EPX,Travel Agency,Online,Cancellation Plan,0,11,VIET NAM,15.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,32,PHILIPPINES,14.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,10,SINGAPORE,39.0,9.75,M,38
C2B,Airlines,Online,Bronze Plan,0,12,SINGAPORE,30.55,7.64,F,51
C2B,Airlines,Online,Bronze Plan,0,16,SINGAPORE,33.5,8.38,F,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,UNITED KINGDOM,112.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,CHINA,32.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,94,JAPAN,47.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,5,"KOREA, REPUBLIC OF",14.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,MALAYSIA,20.0,0.0,None,41
JWT,Airlines,Online,Value Plan,0,69,INDIA,31.0,12.4,M,118
JZI,Airlines,Online,Basic Plan,0,10,HONG KONG,35.0,12.25,M,43
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,61,CANADA,49.5,29.7,None,55
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,50,JAPAN,24.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,3,MALAYSIA,19.8,11.88,None,59
EPX,Travel Agency,Online,Cancellation Plan,0,47,"KOREA, REPUBLIC OF",60.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,189,UNITED KINGDOM,-78.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,2,INDONESIA,21.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,64,SPAIN,29.7,17.82,None,29
EPX,Travel Agency,Online,Cancellation Plan,0,16,"TAIWAN, PROVINCE OF CHINA",26.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,163,FRANCE,79.2,47.52,None,33
ART,Airlines,Online,24 Protect,0,46,PHILIPPINES,11.51,4.03,F,48
C2B,Airlines,Online,Silver Plan,0,9,SINGAPORE,32.5,8.13,M,47
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,16,MALAYSIA,29.7,17.82,None,32
EPX,Travel Agency,Online,Cancellation Plan,0,18,VIET NAM,10.0,0.0,None,36
CCR,Travel Agency,Offline,Comprehensive Plan,0,10,MALAYSIA,29.0,9.57,F,27
SSI,Airlines,Online,Ticket Protector,0,27,SINGAPORE,10.53,2.95,None,48
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,26,UNITED KINGDOM,-48.5,31.53,M,23
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,21,CHINA,57.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,170,JAPAN,40.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,35,AUSTRALIA,79.2,47.52,None,31
C2B,Airlines,Online,Bronze Plan,0,22,SINGAPORE,60.0,15.0,M,21
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,0,13,HONG KONG,26.5,17.23,F,40
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,42,ICELAND,112.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,37,SINGAPORE,46.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,25,CZECH REPUBLIC,80.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,INDONESIA,22.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,1,303,ICELAND,84.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,3,INDONESIA,27.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,THAILAND,36.0,0.0,None,36
RAB,Airlines,Online,Value Plan,0,21,BRUNEI DARUSSALAM,15.0,6.0,None,54
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,34,AUSTRALIA,89.1,53.46,None,37
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,MALAYSIA,20.0,0.0,None,23
JZI,Airlines,Online,Basic Plan,0,66,INDONESIA,30.0,10.5,F,33
EPX,Travel Agency,Online,Cancellation Plan,0,23,INDIA,23.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,75,THAILAND,28.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,49,CHINA,24.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,57,SINGAPORE,27.0,6.75,F,34
EPX,Travel Agency,Online,Cancellation Plan,0,4,PHILIPPINES,17.0,0.0,None,36
JWT,Airlines,Online,Value Plan,0,112,INDIA,120.0,48.0,M,118
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,69,JAPAN,45.0,0.0,None,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,NORWAY,99.0,59.4,None,27
C2B,Airlines,Online,Silver Plan,0,11,SINGAPORE,18.5,4.63,F,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,41,JAPAN,44.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,7,MALAYSIA,10.0,0.0,None,35
SSI,Airlines,Online,Ticket Protector,0,154,SINGAPORE,13.36,3.75,None,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,18,CHINA,42.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,20,MALAYSIA,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,123,VIET NAM,38.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,367,SINGAPORE,241.5,60.38,F,70
EPX,Travel Agency,Online,Cancellation Plan,0,13,THAILAND,13.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,32,AUSTRALIA,69.3,41.58,None,33
EPX,Travel Agency,Online,Cancellation Plan,0,24,UNITED STATES,19.0,0.0,None,23
JZI,Airlines,Online,Basic Plan,0,61,HONG KONG,26.0,9.1,F,38
JZI,Airlines,Online,Basic Plan,0,6,THAILAND,18.0,6.3,F,41
JWT,Airlines,Online,Value Plan,0,19,INDIA,60.0,24.0,M,118
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,CHINA,40.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,8,PHILIPPINES,20.0,0.0,None,36
SSI,Airlines,Online,Ticket Protector,0,2,SINGAPORE,1.67,0.47,None,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,82,GERMANY,-168.3,100.98,None,40
EPX,Travel Agency,Online,Cancellation Plan,0,109,MALAYSIA,10.0,0.0,None,33
EPX,Travel Agency,Online,Cancellation Plan,0,14,INDIA,10.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,45,UNITED STATES,29.7,17.82,None,40
JZI,Airlines,Online,Basic Plan,0,33,PHILIPPINES,33.0,11.55,F,34
EPX,Travel Agency,Online,Cancellation Plan,0,8,SINGAPORE,13.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,47,THAILAND,65.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,9,AUSTRALIA,89.1,53.46,None,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,19,THAILAND,19.8,11.88,None,29
C2B,Airlines,Online,Annual Gold Plan,0,387,SINGAPORE,239.5,59.88,F,47
JZI,Airlines,Online,Basic Plan,0,1,VIET NAM,18.0,6.3,M,63
EPX,Travel Agency,Online,Cancellation Plan,0,7,INDIA,16.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,THAILAND,20.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,4,SINGAPORE,16.0,4.0,M,34
EPX,Travel Agency,Online,Cancellation Plan,0,10,PHILIPPINES,14.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,151,CHINA,34.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,42,SINGAPORE,10.0,0.0,None,39
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,89,AUSTRALIA,108.9,65.34,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,28,UNITED KINGDOM,80.0,0.0,None,36
TST,Travel Agency,Offline,Travel Cruise Protect,0,71,THAILAND,30.0,10.5,F,46
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,3,INDONESIA,20.0,0.0,None,27
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,22,AUSTRALIA,69.3,41.58,None,44
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,51,AUSTRALIA,69.3,41.58,None,40
EPX,Travel Agency,Online,Cancellation Plan,0,26,"KOREA, REPUBLIC OF",31.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,39,THAILAND,18.0,0.0,None,30
